"Person" "Measure" "WALKING" "WALKING_UPSTAIRS" "WALKING_DOWNSTAIRS" "SITTING" "STANDING" "LAYING"
"1" "tBodyAcc-mean()-X" "0.277330758736842" "0.255461689622641" "0.289188320408163" "0.261237565425532" "0.2787317275" "0.22159824394"
"2" "tBodyAcc-mean()-X" "0.276426586440678" "0.247164790395833" "0.27761534806383" "0.27708735173913" "0.278302673962264" "0.281373403958333"
"3" "tBodyAcc-mean()-X" "0.275567462068966" "0.260819873067797" "0.292423484693878" "0.257197599134615" "0.280046513278689" "0.275516852741935"
"4" "tBodyAcc-mean()-X" "0.278582015166667" "0.270876696730769" "0.279965329555556" "0.27153827992" "0.280499745892857" "0.263559214981481"
"5" "tBodyAcc-mean()-X" "0.27784234625" "0.268459469914894" "0.29354392712766" "0.273694139545455" "0.282544390892857" "0.278334325576923"
"6" "tBodyAcc-mean()-X" "0.283658868070175" "0.268229355098039" "0.277045258145833" "0.276778487454545" "0.280346248596491" "0.248656520140351"
"7" "tBodyAcc-mean()-X" "0.275592961754386" "0.248706923078431" "0.28030708" "0.284674637291667" "0.282723539433962" "0.250176694038462"
"8" "tBodyAcc-mean()-X" "0.27468631" "0.258880152048781" "0.283484089210526" "0.267491472934783" "0.279620986111111" "0.261254282907407"
"9" "tBodyAcc-mean()-X" "0.278502842115385" "0.262436475714286" "0.295923445" "0.24832674354" "0.282310057333333" "0.2591955368"
"10" "tBodyAcc-mean()-X" "0.278574076603774" "0.267121853404255" "0.290401594315789" "0.270612056481481" "0.276650300681818" "0.280230574137931"
"11" "tBodyAcc-mean()-X" "0.271821892881356" "0.263775859277778" "0.291605631956522" "0.276590197358491" "0.277715562765957" "0.280592970877193"
"12" "tBodyAcc-mean()-X" "0.2771286656" "0.272970338653846" "0.281521097391304" "0.275007224901961" "0.277405834918033" "0.260113433"
"13" "tBodyAcc-mean()-X" "0.275883130350877" "0.258203939581818" "0.294907553404255" "0.274328499591837" "0.277758431052632" "0.276716360483871"
"14" "tBodyAcc-mean()-X" "0.271959598644068" "0.26242106612963" "0.293422115555556" "0.279990577037037" "0.280545613833333" "0.233275439803922"
"15" "tBodyAcc-mean()-X" "0.273899207962963" "0.270187595833333" "0.280198851190476" "0.27290337979661" "0.278915803962264" "0.2894756525"
"16" "tBodyAcc-mean()-X" "0.276023564509804" "0.255986102627451" "0.295586802191489" "0.280768574492754" "0.283497402948718" "0.274227162571429"
